,EPPO_CODE,preferred_name,synonym,ds_language,EFSA_PHT,re,match_language,NCBI_TAXID
318,VENTNA,Venturia nashicola,tavelure du nashi,fr,,,,
319,VENTNA,Venturia nashicola,tavelure du poirier du Japon,fr,,,,
320,VENTNA,Venturia nashicola,cribado del peral del Japón,es,,,,
321,VENTNA,Venturia nashicola,kurohoshi-byo,ja,,,,
322,1ACLRG,Acleris,,,,,,
323,NUMOPI,Acrobasis pirivorella,pear driller,en,,,,
324,NUMOPI,Acrobasis pirivorella,pear fruit moth,en,,,,
325,NUMOPI,Acrobasis pirivorella,pear moth,en,,,,
326,NUMOPI,Acrobasis pirivorella,pear pyralid,en,,,,
327,NUMOPI,Acrobasis pirivorella,Грушевая огневка,ru,,,,
328,AGRLAX,Agrilus anxius,bronze birch borer,en,,,,
329,AGRLAX,Agrilus anxius,Bronzefarbener Birken-Bohrer,de,,,,
330,AGRLAX,Agrilus anxius,agrile du bouleau,fr,,,,
331,AGRLAX,Agrilus anxius,perceur doré du bouleau,fr,,,,
332,AGRLAX,Agrilus anxius,kopparpraktbagge,sv,,,,
333,AGRLAX,Agrilus anxius,Бронзовая березовая златка,ru,,,,
334,AGRLPL,Agrilus planipennis,emerald ash borer,en,,,,
335,AGRLPL,Agrilus planipennis,agrile du frêne,fr,,,,
336,AGRLPL,Agrilus planipennis,smaragdpraktbagge,sv,,,,
337,AGRLPL,Agrilus planipennis,ясеневая изумрудная златка,ru,,,,
338,AGRLPL,Agrilus planipennis,ясеневая изумрудная узкотелая златка,ru,,,,
339,AGRLPL,Agrilus planipennis,ясеневая узкотелая златка,ru,,,,
340,ALECCT,Aleurocanthus citriperdus,,,,,,
341,ALECWO,Aleurocanthus woglumi,blue grey fly,en,,,,
342,ALECWO,Aleurocanthus woglumi,citrus blackfly,en,,,,
343,ALECWO,Aleurocanthus woglumi,citrus spring whitefly,en,,,,
344,ALECWO,Aleurocanthus woglumi,schwarze Citrusmottenschildlaus,de,,,,
345,ALECWO,Aleurocanthus woglumi,aleurode noir des agrumes,fr,,,,
346,ALECWO,Aleurocanthus woglumi,mosca prieta,es,,,,
347,ALECWO,Aleurocanthus woglumi,mosca prieta de los cítricos,es,,,,
