,EPPO_CODE,EFSA_PHT,NCBI_TAXID,preferred_name,synonym,re,ds_language,match_language
155,ELSIAU,ElsinoeAustralis-PHT,,Elsinoë australis,antracnosis del naranjo,antracnosis del naranjo,es,
156,ELSIAU,ElsinoeAustralis-PHT,,Elsinoë australis,roña de la naranja dulce,ro\wa de la naranja dulce,es,
157,ELSIAU,ElsinoeAustralis-PHT,,Elsinoë australis,sarna de la naranja dulce,sarna de la naranja dulce,es,
158,ELSICI,,,Elsinoë citricola,nan,,,
159,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,common scab of orange,common scab of orange,en,
160,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,scab of citrus,scab of citrus,en,
161,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,scab of mango,scab of mango,en,
162,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,scab of sour orange,scab of sour orange,en,
163,ELSIFA,,,Elsinoë fawcettii,Fleckenanthraknose: Zitrus,,de,
164,ELSIFA,,,Elsinoë fawcettii,Schorf: Zitrus,,de,
165,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,gale commune des agrumes,gale commune des agrumes,fr,
166,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,scab des agrumes,scab des agrumes,fr,
167,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,verrues des agrumes,verrues des agrumes,fr,
168,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,costra común de los agrios,costra com\wn de los agrios,es,
169,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,roña de los agrios,ro\wa de los agrios,es,
170,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,roña de los cítricos,ro\wa de los c\wtricos,es,
171,ELSIFA,ElsinoeFawcettii-PHT,,Elsinoë fawcettii,verrugose-dos-citros,verrugose\S*\s?dos\S*\s?citros,pt,
172,FUSAAL,,ncbi:72712,Fusarium oxysporum f. sp. albedinis,bayoud disease of date palm,,en,
173,FUSAAL,FusariumOxysporumAlbedinis-PHT,ncbi:72712,Fusarium oxysporum f. sp. albedinis,fusarium wilt of date palm,fusarium wilt of date palm,en,
174,FUSAAL,FusariumOxysporumAlbedinis-PHT,ncbi:72712,Fusarium oxysporum f. sp. albedinis,tracheomycosis of date palm,tracheomycosis of date palm,en,
175,FUSAAL,,ncbi:72712,Fusarium oxysporum f. sp. albedinis,maladie du bayoud du palmier dattier,,fr,
176,FUSAAL,FusariumOxysporumAlbedinis-PHT,ncbi:72712,Fusarium oxysporum f. sp. albedinis,fusariosis de la palmera de datiles,fusariosis de la palmera de datiles,es,
177,GUIGLA,SirococcusTsugae-PHT,ncbi:121618,Neofusicoccum laricinum,shoot blight of larch,shoot blight,en,
178,GUIGLA,,ncbi:121618,Neofusicoccum laricinum,twig die-back of larch,,en,
179,GUIGLA,,ncbi:121618,Neofusicoccum laricinum,Triebsterben: Lärche,,de,
180,1GYMNG,,ncbi:5265,Gymnosporangium,nan,,,
181,GYMNCF,,ncbi:5266,Gymnosporangium clavariiforme,Rost: Wacholder,,de,
182,GYMNCF,,ncbi:5266,Gymnosporangium clavariiforme,Rost: Weißdorn,,de,
183,GYMNCF,Gymnosporangium-PHT,ncbi:5266,Gymnosporangium clavariiforme,rouille de l'aubépine,rouille de l\S*\s?aub\wpine,fr,
184,GYMNCF,Gymnosporangium-PHT,ncbi:5266,Gymnosporangium clavariiforme,roya del espino albar,roya del espino albar,es,
185,GYMNCF,,ncbi:5266,Gymnosporangium clavariiforme,решётчатая ржавчина яблони,,ru,
186,GYMNCO,,,Gymnosporangium confusum,Rost: Eberesche,,de,
187,GYMNCO,,,Gymnosporangium confusum,Rost: Weißdorn,,de,
188,GYMNCO,Gymnosporangium-PHT,,Gymnosporangium confusum,rouille de l'aubépine,rouille de l\S*\s?aub\wpine,fr,
189,GYMNCO,,,Gymnosporangium confusum,rouille de Plowright du poirier,,fr,
190,GYMNCO,,,Gymnosporangium confusum,rouille du néflier,,fr,
191,GYMNCO,,,Gymnosporangium confusum,roya de plowright del peral,,es,
192,GYMNCR,,ncbi:190631,Gymnosporangium cornutum,nan,,,
193,GYMNFU,Gymnosporangium-PHT,ncbi:190632,Gymnosporangium sabinae,rust of juniper,rust of juniper,en,
194,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,trellis rust of pear,,en,
195,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,Birnengitterrost,,de,
196,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,Gitterrost: Birne,,de,
197,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,Rost: Sadebaum,,de,
198,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,rouille européenne du poirier,,fr,
199,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,rouille grillagée du poirier,,fr,
200,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,roya del peral,,es,
